epoch,complexity,train_loss,train_acc,val_loss,val_acc
0,0.0,0.6618026952445507,0.80625,0.04756799978869302,1.0
1,0.010101010101010102,0.021137929484248162,1.0,0.008020964517657245,1.0
2,0.020202020202020204,0.005772762410342694,1.0,0.00480494016249265,1.0
3,0.030303030303030304,0.004074030751362443,1.0,0.0036603707620607956,1.0
4,0.04040404040404041,0.0033046351931989193,1.0,0.003137142231155719,1.0
5,0.050505050505050504,0.0026948462333530186,1.0,0.002554571089733924,1.0
6,0.06060606060606061,0.002258825106546283,1.0,0.002140158022354756,1.0
7,0.0707070707070707,0.0018879564898088574,1.0,0.0017388193103085672,1.0
8,0.08080808080808081,0.0015759806474670767,1.0,0.001529710051337523,1.0
9,0.09090909090909091,0.0013669577986001968,1.0,0.0012848968783925687,1.0
10,0.10101010101010101,0.0011796067655086518,1.0,0.0010958509519696236,1.0
11,0.1111111111111111,0.0010063523869030177,1.0,0.0009517048019915819,1.0
12,0.12121212121212122,0.0008771990821696818,1.0,0.000830777089244553,1.0
13,0.13131313131313133,0.0007666935701854527,1.0,0.0007230062536629182,1.0
14,0.1414141414141414,0.0006703877355903387,1.0,0.0006594518615332033,1.0
15,0.15151515151515152,0.000600617895834148,1.0,0.0005787139525637031,1.0
16,0.16161616161616163,0.0005307319457642734,1.0,0.0005217382983703699,1.0
17,0.1717171717171717,0.0004838465584907681,1.0,0.00047757852423403947,1.0
18,0.18181818181818182,0.00043070756131783125,1.0,0.0004099157480855605,1.0
19,0.1919191919191919,0.0003893535456154496,1.0,0.0003836820542346686,1.0
20,0.20202020202020202,0.00035338841611519455,1.0,0.0003458699460939637,1.0
21,0.21212121212121213,0.0003187556460034102,1.0,0.00031505462331032116,1.0
22,0.2222222222222222,0.00029206367209553717,1.0,0.0002861818149020629,1.0
23,0.23232323232323232,0.00026280988240614536,1.0,0.00026042028912343085,1.0
24,0.24242424242424243,0.00024366415163967758,1.0,0.00022573449158309295,1.0
25,0.25252525252525254,0.00022050903702620418,1.0,0.00021128359367139637,1.0
26,0.26262626262626265,0.00020048870355822147,1.0,0.00019714046876677976,1.0
27,0.2727272727272727,0.0001878303528064862,1.0,0.00018238451905615096,1.0
28,0.2828282828282828,0.0001745819259667769,1.0,0.00017016650235746056,1.0
29,0.29292929292929293,0.00015805241651833057,1.0,0.00015624520476974015,1.0
30,0.30303030303030304,0.00014765931176953019,1.0,0.00014179649172417288,1.0
31,0.31313131313131315,0.00013386523438384756,1.0,0.0001369481345006664,1.0
32,0.32323232323232326,0.00012454948300728575,1.0,0.00012450615343238627,1.0
33,0.3333333333333333,0.00011520769301569089,1.0,0.00011526539518464623,1.0
34,0.3434343434343434,0.00010666959220543503,1.0,0.0001029872042376415,1.0
35,0.35353535353535354,0.00010103240696480497,1.0,0.0001029904669849202,1.0
36,0.36363636363636365,9.359421441331506e-05,1.0,9.441687974945776e-05,1.0
37,0.37373737373737376,8.713951625395566e-05,1.0,8.57435557658651e-05,1.0
38,0.3838383838383838,8.082171523710713e-05,1.0,7.840430251755086e-05,1.0
39,0.3939393939393939,7.45938392356038e-05,1.0,7.616935285373725e-05,1.0
40,0.40404040404040403,7.082682248437777e-05,1.0,7.010930338375536e-05,1.0
41,0.41414141414141414,6.702657861751504e-05,1.0,6.339042218834428e-05,1.0
42,0.42424242424242425,6.18848530575633e-05,1.0,6.193345221358218e-05,1.0
43,0.43434343434343436,5.876982628251426e-05,1.0,5.77390258383405e-05,1.0
44,0.4444444444444444,5.32117324473802e-05,1.0,5.4238514297009844e-05,1.0
45,0.45454545454545453,5.1800219371216375e-05,1.0,4.995095098690529e-05,1.0
46,0.46464646464646464,4.879974789218977e-05,1.0,5.0062178031242054e-05,1.0
47,0.47474747474747475,4.5710449485341086e-05,1.0,4.500562915511962e-05,1.0
48,0.48484848484848486,4.378025711048394e-05,1.0,4.4540539550195846e-05,1.0
49,0.494949494949495,4.35610901331529e-05,1.0,4.2883400705509954e-05,1.0
50,0.5050505050505051,4.1283710888819766e-05,1.0,4.0042204740789854e-05,1.0
51,0.5151515151515151,4.182267177384347e-05,1.0,4.038118952718962e-05,1.0
52,0.5252525252525253,4.217625406454317e-05,1.0,4.1843574893261704e-05,1.0
53,0.5353535353535354,4.418156560859643e-05,1.0,4.265565335767211e-05,1.0
54,0.5454545454545454,4.616123522282578e-05,1.0,4.4015322470970985e-05,1.0
55,0.5555555555555556,4.753173954668455e-05,1.0,4.7072531223031024e-05,1.0
56,0.5656565656565656,4.932374984491616e-05,1.0,5.2767626454754334e-05,1.0
57,0.5757575757575758,5.1942870632046836e-05,1.0,5.0914609996003234e-05,1.0
58,0.5858585858585859,5.602470191661269e-05,1.0,5.415535062119099e-05,1.0
59,0.5959595959595959,5.9785730263683946e-05,1.0,5.676751503155434e-05,1.0
60,0.6060606060606061,6.386110399034806e-05,1.0,5.4974575115401035e-05,1.0
61,0.6161616161616161,6.538549205288291e-05,1.0,6.314511795478341e-05,1.0
62,0.6262626262626263,7.268345230841077e-05,1.0,6.705078080163471e-05,1.0
63,0.6363636363636364,8.027506642974913e-05,1.0,7.269450205577803e-05,1.0
64,0.6464646464646465,8.267536904895678e-05,1.0,8.771338824382318e-05,1.0
65,0.6565656565656566,8.84188650525175e-05,1.0,8.608503516630403e-05,1.0
66,0.6666666666666666,9.461641166126355e-05,1.0,0.00010609649949141644,1.0
67,0.6767676767676768,9.869956149486824e-05,1.0,0.00010813461579216112,1.0
68,0.6868686868686869,0.00011052498739445582,1.0,9.949101617426745e-05,1.0
69,0.696969696969697,0.00012452303635654972,1.0,0.00012163688266550057,1.0
70,0.7070707070707071,0.00012618695211131126,1.0,0.00011335932815979634,1.0
71,0.7171717171717171,0.0001338098946143873,1.0,0.00010731485547564392,1.0
72,0.7272727272727273,0.00014910238242009654,1.0,0.00014314914005808532,1.0
73,0.7373737373737373,0.00015741413226351143,1.0,0.00014747912479963685,1.0
74,0.7474747474747475,0.00016698275634553284,1.0,0.00016847844692944949,1.0
75,0.7575757575757576,0.00016785437415819615,1.0,0.00016179938808948333,1.0
76,0.7676767676767676,0.00019209550693631173,1.0,0.0001791905067096065,1.0
77,0.7777777777777778,0.0001979609770933166,1.0,0.00019830191948650672,1.0
78,0.7878787878787878,0.00022082256735302507,1.0,0.00021278466530410306,1.0
79,0.797979797979798,0.00022465597547125071,1.0,0.00023693765979260206,1.0
80,0.8080808080808081,0.00021586435963399708,1.0,0.00022021122068898485,1.0
81,0.8181818181818182,0.00023894009820651262,1.0,0.00024699342195942463,1.0
82,0.8282828282828283,0.0002556877152528614,1.0,0.00024074214785027185,1.0
83,0.8383838383838383,0.000248377796378918,1.0,0.00024201059048729285,1.0
84,0.8484848484848485,0.00025942677864804865,1.0,0.00022215107414272746,1.0
85,0.8585858585858586,0.00029247061465866866,1.0,0.00025532630388624966,1.0
86,0.8686868686868687,0.0002841226977761835,1.0,0.0002608462611013757,1.0
87,0.8787878787878788,0.00030021031096111984,1.0,0.00028974079344022485,1.0
88,0.8888888888888888,0.00031563282245770095,1.0,0.00026705345538045676,1.0
89,0.898989898989899,0.0003129877569153905,1.0,0.00029173115659172514,1.0
90,0.9090909090909091,0.000306707001873292,1.0,0.0003110309792516221,1.0
91,0.9191919191919192,0.00035003805765882135,1.0,0.0002633296784811786,1.0
92,0.9292929292929293,0.00034193089697510004,1.0,0.0002684254245001024,1.0
93,0.9393939393939394,0.00034360449993982913,1.0,0.0002900419765085514,1.0
94,0.9494949494949495,0.00034081158344633877,1.0,0.00032197439577430487,1.0
95,0.9595959595959596,0.00033006927638780327,1.0,0.00030059613969310055,1.0
96,0.9696969696969697,0.0003628498676698655,1.0,0.00036965261097066104,1.0
97,0.9797979797979798,0.0003729853418190032,1.0,0.0003050204790529928,1.0
98,0.98989898989899,0.00036542770511005073,1.0,0.00032683507639116475,1.0
99,1.0,0.00036823256290517746,1.0,0.00029053245504785864,1.0
